State_Code,DistrictCode,in_labour_force,Employed,Unemployed,Employed_self,Employed_ownacc,Employed_ownent,Employed_help,Employed_Salaried,Employed_wages,Employed_casual
24,1,35,19,0,16,5,0,11,8,19,11
24,2,95,22,0,73,63,1,9,11,22,11
24,3,60,22,0,38,31,0,7,11,22,11
24,4,48,23,0,25,21,0,4,10,23,13
24,5,35,12,1,22,13,0,9,3,12,9
24,6,6,4,0,2,2,0,0,4,4,0
24,7,143,76,5,62,20,2,40,61,76,15
24,8,37,23,1,13,5,0,8,8,23,15
24,9,89,22,3,64,8,0,56,10,22,12
24,10,52,13,0,39,7,0,32,7,13,6
24,11,9,5,0,4,0,0,4,2,5,3
24,12,56,13,1,42,2,0,40,2,13,11
24,13,25,1,0,24,4,0,20,1,1,0
24,14,66,22,0,44,17,3,24,18,22,4
24,15,24,15,0,9,3,0,6,7,15,8
24,16,26,5,2,19,9,0,10,2,5,3
24,17,101,8,1,92,69,0,23,6,8,2
24,18,102,22,0,80,22,0,58,7,22,15
24,19,112,47,4,61,29,1,31,37,47,10
24,20,53,8,0,45,15,0,30,1,8,7
24,21,23,10,0,13,10,0,3,7,10,3
24,23,49,30,0,19,7,0,12,10,30,20
24,24,62,29,0,33,8,0,25,23,29,6
24,25,145,73,2,70,55,0,15,54,73,19
24,26,36,22,0,14,2,0,12,3,22,19
28,1,133,84,4,45,12,0,33,27,84,57
28,2,63,34,7,22,11,0,11,10,34,24
28,3,147,88,9,50,18,0,32,51,88,37
28,4,126,69,11,46,17,1,28,40,69,29
28,5,105,71,8,26,10,0,16,20,71,51
28,6,151,110,9,32,17,1,14,57,110,53
28,7,261,164,17,80,26,2,52,62,164,102
28,8,136,78,6,52,38,0,14,23,78,55
28,9,117,59,7,51,24,0,27,18,59,41
28,10,137,60,12,65,29,0,36,30,60,30
28,11,252,98,9,145,43,1,101,32,98,66
28,12,214,109,12,93,25,0,68,17,109,92
28,13,233,106,17,110,72,0,38,49,106,57
29,1,147,84,1,62,15,1,46,42,84,42
29,2,33,22,0,11,5,0,6,7,22,15
29,3,82,50,0,32,8,0,24,11,50,39
29,4,39,25,0,14,1,0,13,2,25,23
29,5,61,28,0,33,12,0,21,2,28,26
29,6,39,33,0,6,2,0,4,7,33,26
29,7,54,30,1,23,8,0,15,7,30,23
29,8,58,35,1,22,10,0,12,17,35,18
29,9,37,12,1,24,5,0,19,4,12,8
29,10,65,28,0,37,9,0,28,9,28,19
29,11,124,73,1,50,14,0,36,25,73,48
29,12,74,50,1,23,10,0,13,11,50,39
29,13,70,45,0,25,6,0,19,17,45,28
29,14,60,37,1,22,8,0,14,15,37,22
29,15,42,20,4,18,8,0,10,18,20,2
29,16,25,17,2,6,1,0,5,5,17,12
29,17,49,20,2,27,10,3,14,8,20,12
29,18,260,217,20,23,16,0,7,203,217,14
29,19,18,11,1,6,4,0,2,7,11,4
29,20,63,8,2,53,22,0,31,3,8,5
29,21,88,33,4,51,44,0,7,23,33,10
29,22,11,5,0,6,2,0,4,5,5,0
29,23,123,64,12,47,25,0,22,48,64,16
29,24,21,11,3,7,3,0,4,8,11,3
29,25,114,48,0,66,10,0,56,15,48,33
29,26,73,28,2,43,5,0,38,4,28,24
29,27,54,26,3,25,8,0,17,12,26,14
29,28,13,11,0,2,1,0,1,5,11,6
29,29,34,12,3,19,9,0,10,7,12,5
29,30,7,3,2,2,1,0,1,3,3,0
32,1,71,40,17,14,14,0,0,20,40,20
32,2,171,97,30,44,29,4,11,48,97,49
32,3,44,29,9,6,4,1,1,13,29,16
32,4,102,59,28,15,14,0,1,35,59,24
32,5,114,71,23,20,11,6,3,42,71,29
32,6,112,69,32,11,7,0,4,42,69,27
32,7,229,136,50,43,28,1,14,98,136,38
32,8,246,128,35,83,44,11,28,114,128,14
32,9,63,34,6,23,11,1,11,19,34,15
32,10,121,59,17,45,24,2,19,53,59,6
32,11,87,42,17,28,22,1,5,34,42,8
32,12,86,37,20,29,18,3,8,28,37,9
32,13,166,76,34,56,27,4,25,64,76,12
32,14,207,107,47,53,39,2,12,103,107,4
33,1,140,109,8,23,13,0,10,63,109,46
33,2,164,126,11,27,18,1,8,123,126,3
33,3,164,125,9,30,16,0,14,83,125,42
33,4,182,83,8,91,45,1,45,32,83,51
33,5,142,77,6,59,24,1,34,17,77,60
33,6,233,106,14,113,67,0,46,26,106,80
33,7,255,143,10,102,49,1,52,81,143,62
33,8,73,48,3,22,18,0,4,13,48,35
33,9,144,83,14,47,18,1,28,46,83,37
33,10,28,22,0,6,1,0,5,9,22,13
33,11,112,58,7,47,11,0,36,12,58,46
33,12,45,26,2,17,7,1,9,12,26,14
33,13,108,39,5,64,34,4,26,26,39,13
33,14,24,15,3,6,1,1,4,7,15,8
33,15,40,14,1,25,10,4,11,6,14,8
33,16,153,81,11,61,33,0,28,17,81,64
