district,lfpr_percent,state,digital_gender_gap,f_mean_age,f_mean_education,f_mean_yrs_edu,f_pct_literate,f_pct_sc,f_pct_st,f_pct_general,f_pct_obc,f_mean_wealth_scr,f_mean_wealth_idx,f_pct_urban,f_pct_rural,f_mean_hh_size,f_pct_married,f_pct_divorced,f_pct_has_mobile,f_pct_ever_breastfed_c1,f_n_respondents
darbhanga,3.654485226,bihar,40.442635,28.405827,1.0186148,4.7718329,51.086132,26.819283,2.145704,23.969707,45.60714,-625830.4476,1.9144752,13.868068,86.131927,5.9929118,73.965309,2.0338049,51.111076,23.295269,2534.992385
gaya,2.711323738,bihar,44.129921,28.01606,1.2037845,5.7939968,61.222031,32.784248,1.2509769,16.385193,49.579582,-450805.5047,2.1960721,13.099504,86.900497,6.0703301,72.862206,2.2412834,41.79792,31.953722,2196.685238
gopalganj,2.189780951,bihar,34.274277,28.258289,1.3105512,6.2200732,67.864418,17.428537,4.677824,14.520827,61.390865,-350986.9144,2.2691088,15.502922,84.497078,6.3941436,69.12336,2.266248,58.613396,22.213451,1642.58926
jamui,4.854368687,bihar,37.33482,28.749361,1.0151911,4.6297393,54.347427,32.550014,3.0058291,6.8433905,57.279396,-611796.9962,1.977452,12.346007,87.653992,6.1441245,81.175316,2.028692,55.342571,31.557158,949.5839069
jehanabad,1.369863033,bihar,49.63546,29.006876,1.2200369,5.8248596,62.301464,30.492908,0.63325584,14.517407,54.356426,-350959.8402,2.2943127,18.030027,81.969971,5.8907461,74.602852,3.4602921,35.948227,33.421604,569.9278318
kaimur (bhabua),4.477612019,bihar,41.379498,28.703882,1.3155826,6.2485251,66.052643,32.164234,4.6073117,9.3479137,53.880543,-433104.9426,2.1747279,8.5407639,91.459236,6.1936703,71.384933,2.0930035,45.351368,25.62347,837.3790533
katihar,13.66666698,bihar,48.483032,28.26511,1.0243578,4.56885,55.647789,15.834859,5.6726789,25.16926,51.209553,-860541.655,1.6783727,9.114687,90.885315,5.5588183,77.837448,3.3818476,37.298737,27.674999,1687.458759
khagaria,9.420289993,bihar,36.625999,28.274948,1.0738866,5.06464,54.952137,23.59116,2.8050318,11.670874,61.766262,-629655.7915,1.9371815,9.911377,90.088623,6.2711978,79.343674,2.2358584,54.334938,20.044882,1058.488634
kishanganj,9.202454567,bihar,53.266262,27.46327,0.93555075,4.0989432,50.926643,10.469772,9.4009342,33.5466,45.233093,-781441.7669,1.68385,11.084842,88.915161,5.6089416,68.097122,2.8927431,37.640209,23.642946,1109.707489
lakhisarai,5.660377502,bihar,42.1367,28.523397,1.202016,5.676187,61.532532,29.344091,3.2536507,17.953226,48.737724,-309792.0085,2.3736804,24.757387,75.242615,6.8497157,76.253578,2.4179487,48.889835,33.220947,579.7666941
