state_id,smdist,prop_internet_access,prop_mobile_access,gender
nct of delhi,north east,0,.95483869,0
nct of delhi,north west,0,.9512195,0
nct of delhi,shahdara,0,.9770115,0
nct of delhi,south,0,.97959185,0
nct of delhi,south east,0,.96373057,0
nct of delhi,south west,0,.94039732,0
nct of delhi,west,0,.97604787,0
gujarat,ahmadabad,0,.98518521,0
gujarat,aravali,0,.86060607,0
gujarat,bhavnagar,0,.96062988,0
gujarat,botad,0,.96031743,0
gujarat,chhota udaipur,0,.82352942,0
gujarat,devbhumi dwarka,0,.86627907,0
gujarat,gir somnath,0,.84313726,0
gujarat,jamnagar,0,.969697,0
gujarat,junagadh,0,.88435376,0
gujarat,kheda,0,.86466163,0
gujarat,mahisagar,0,.78512394,0
gujarat,morbi,0,.9470588,0
gujarat,panch mahals,0,.80571431,0
gujarat,rajkot,0,.9319728,0
gujarat,sabar kantha,0,.86466163,0
gujarat,surendranagar,0,.9512195,0
gujarat,vadodara,0,.86301368,0
haryana,bhiwani,0,.85314685,0
haryana,charkhi dadri,0,.89380533,0
madhya pradesh,agar malwa,0,.92682922,0
madhya pradesh,shajapur,0,.88043481,0
maharashtra,palghar,0,.90082645,0
maharashtra,thane,0,.91208798,0
meghalaya,east garo hills,0,.85810816,0
meghalaya,east jantia hills,0,.82941175,0
meghalaya,north garo hills,0,.79354841,0
meghalaya,south west garo hills,0,.8984375,0
meghalaya,south west khasi hills,0,.74566472,0
meghalaya,west garo hills,0,.91772151,0
meghalaya,west jaintia hills,0,.68613136,0
meghalaya,west khasi hills,0,.90909094,0
punjab,fazilka,0,.89304811,0
punjab,firozpur,0,.90697676,0
punjab,gurdaspur,0,.89781022,0
punjab,pathankot,0,.94400001,0
telangana,adilabad,0,.90579712,0
telangana,bhadradri kothagudem,0,.93103451,0
telangana,hyderabad,0,.96428573,0
telangana,jagitial,0,.98765427,0
telangana,jangoan,0,.96703297,0
telangana,jayashankar bhupalapally,0,.90825689,0
telangana,jogulamba gadwal,0,.99199998,0
telangana,kamareddy,0,.95575213,0
telangana,karimnagar,0,.97727281,0
telangana,khammam,0,.89719623,0
telangana,komaram bheem asifabad,0,.93495935,0
telangana,mahabubabad,0,.9285714,0
telangana,mahabubnagar,0,.93430656,0
telangana,mancherial,0,.99019605,0
telangana,medak,0,.94392526,0
telangana,medchal-malkajgiri,0,.94392526,0
telangana,nagarkurnool,0,.91379309,0
telangana,nalgonda,0,.99029118,0
telangana,nirmal,0,.98901093,0
telangana,nizamabad,0,.94897962,0
telangana,peddapalli,0,.95454544,0
