state_id,smdist,prop_internet_use_m,prop_mobile_own_m,prop_internet_use_f,prop_mobile_own_f,dd_internet_use,dd_mobile_own
madhya pradesh,panna,0,.81578952,0,.34810126,0,.46768826
madhya pradesh,sagar,0,.89655173,0,.32098764,0,.57556409
madhya pradesh,damoh,0,.85000002,0,.35460994,0,.49539009
madhya pradesh,satna,0,.87341774,0,.46067414,0,.4127436
madhya pradesh,rewa,0,.77108431,0,.41904762,0,.35203668
madhya pradesh,umaria,0,.83139533,0,.25862068,0,.57277465
madhya pradesh,neemuch,0,.95580119,0,.45238096,0,.50342023
madhya pradesh,mandsaur,0,.91907513,0,.33333334,0,.58574176
madhya pradesh,ratlam,0,.88607597,0,.31724137,0,.5688346
madhya pradesh,ujjain,0,.943299,0,.53714287,0,.40615612
madhya pradesh,dewas,0,.92553192,0,.39459461,0,.53093731
madhya pradesh,dhar,0,.85148513,0,.44827583,0,.4032093
madhya pradesh,indore,0,.90425533,0,.60344827,0,.30080706
madhya pradesh,khargone (west nimar),0,.91666669,0,.34146342,0,.5752033
madhya pradesh,barwani,0,.88359785,0,.22285715,0,.66074073
madhya pradesh,rajgarh,0,.8611111,0,.30882353,0,.55228758
madhya pradesh,vidisha,0,.86746991,0,.32704404,0,.5404259
madhya pradesh,bhopal,0,.89473689,0,.42857146,0,.46616542
madhya pradesh,sehore,0,.83333331,0,.44516128,0,.38817203
madhya pradesh,raisen,0,.82692307,0,.2888889,0,.5380342
madhya pradesh,betul,0,.83687943,0,.40490797,0,.43197146
madhya pradesh,harda,0,.877451,0,.328125,0,.549326
madhya pradesh,hoshangabad,0,.76543212,0,.38036808,0,.38506404
madhya pradesh,katni,0,.83168316,0,.30208334,0,.52959979
madhya pradesh,jabalpur,0,.94444436,0,.18181819,0,.76262617
madhya pradesh,narsimhapur,0,.84375,0,.40935671,0,.43439329
madhya pradesh,dindori,0,.81595093,0,.2977528,0,.51819813
madhya pradesh,mandla,0,.81699342,0,.31927711,0,.49771631
madhya pradesh,chhindwara,0,.8359375,0,.33834586,0,.49759164
madhya pradesh,seoni,0,.81617641,0,.32704404,0,.48913237
madhya pradesh,balaghat,0,.89781022,0,.55038762,0,.3474226
madhya pradesh,guna,0,.82716048,0,.28658536,0,.54057515
madhya pradesh,ashoknagar,0,.875,0,.20454545,0,.67045456
madhya pradesh,shahdol,0,.73228347,0,.28787878,0,.44440469
madhya pradesh,anuppur,0,.79144382,0,.32236841,0,.46907541
madhya pradesh,sidhi,0,.78676468,0,.46583855,0,.32092613
madhya pradesh,singrauli,0,.87500006,0,.27500001,0,.60000002
madhya pradesh,jhabua,0,.89285713,0,.23741007,0,.65544707
